dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
1D-cauchy-32p,32,32,0.2445260791348568,11,5.9518945379241245e-12,,seconds,0.0,0.0024971999228,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-32p,32,32,0.2157705171551459,11,3.0449238918552545e-14,,seconds,0.0,0.0026889685541391,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-32p,32,32,0.5073405832328372,11,2.80953321115712e-14,,seconds,0.0,0.0025568678975105,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-32p,32,32,0.4642661036318161,11,4.978611029729494e-13,,seconds,0.0,0.0024701412767171,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-32p,32,32,0.5566267122630402,11,1.365468176413991e-13,,seconds,0.0,0.0028743278235197,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-32p,32,32,0.2740772344886387,11,1.45023509780667e-12,,seconds,0.0,0.0024861693382263,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-32p,32,32,0.5032119451621144,11,2.879858128934752e-17,,seconds,0.0,0.0023368336260318,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-32p,32,32,0.3416975424145444,11,2.0350864670710027e-16,,seconds,0.0,0.0024171639233827,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-32p,32,32,0.6855147140000091,11,7.325301799425328e-15,,seconds,0.0,0.0024024322628974,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-32p,32,32,0.2680478022270942,11,1.0435693474387868e-10,,seconds,0.0,0.0024655256420373,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-32p,32,32,0.3937675709784636,11,6.314079204820634e-17,,seconds,0.0,0.002405846491456,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-32p,32,32,0.2261055353236568,11,1.3540924958846858e-13,,seconds,0.0,0.0027044676244258,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-32p,32,32,1.0871182489293063,11,4.414820124548019e-17,,seconds,0.0,0.0023403819650411,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
1D-cauchy-32p,32,32,0.5004309102956053,11,3.433683637761021e-15,,seconds,0.0,0.0024248026311397,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,100000
